,name,artwork,poseType,sod,gRoq1_mat,gRoq2_mat,gRoq3_mat,gRoq4_mat,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density,additional_perception
0,나비,A6,dancing,9.0,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","동작의 움직임이 커보임. 특히 치마를 봤을때 올라가진 부분이 많은걸 보아, 힘차게 움직였다는게 간접적으로 느껴짐.",9.0,9,7.0,7 |  밝은 느낌이 들어서,8.0,8,
1,rub,A6,dancing,9.0,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",her dress is the main thing makes me feel dynamic,9.0,"9 |  it's flamingo, isn't it?",8.0,8 |  it matches with plucked string instruments for me,9.0,9 |  fancy and always full of energy,
2,Daisy,A6,dancing,6.0,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]",The human is dancing. The background is even more empty than that of Artwork 5,8.0,8 |  She is dancing.,8.0,8 |  Her dress makes me think the dance is dynamic and exciting.,8.0,8 |  Same reason with the question about the pitch.,
3,Doky,A6,dancing,7.0,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",밝으면서도 다양한 색채(알록달록함)와 춤을 연상케하는 동작과 이미지.,8.0,8 |  인물의 복장에서 보여지는 활발함과 이에서 빠르고 역동적인 춤이 연상되기 때문에 빠른 템포가 이상적임. ,8.0,8 |  밝고 빠른 템포에 높은 음악의 pitch가 밝고 경쾌한 역동적인 움직임을 극대화시킬 것 같음. ,9.0,9 |  밀도 역시 높아야 더 다채롭고 활기찬 역동적인 느낌을 강조시킬 수 있을 것 같음. ,
4,chanpig,A6,dancing,5.0,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",치마가 위로 향해서 움직임이 느껴짐,4.0,4 |  몸이 열정적으로 움직이는 느낌은 없음 ,4.0,4 |  색감때문에 높은음보다는 보통이나 조금 낮게 느껴짐,6.0,6 |  밀도는 파란색이 주로 쓰였는데 맑게 쓰인게 아니라 탁해서 좀 밀도가 높아보임 ,
5,곤듀,A6,dancing,7.0,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",인물의 행동보다는 펄럭?이는 치마에서 역동성이 느껴짐,9.0,9 |  아무래도 펄럭이는 치마로 인해 탱고와 같은 춤이 연상됨에 따라 매우 빠른 템포가 어울리다고 생각함,1.0,1 |  펄럭이는 치마로 인해 탱고와 같은 음악이 연상되면서 묵직한 피치가 생각남,9.0,9 |  펄럭이는 치마로 인해 탱고와 같은 음악이 연상되기 때문에 매우 높은 밀도의 음악이 어울리다고 생각함,
6,이인애,A6,dancing,8.0,"[0, 1, 0, 0]","[1, 1, 1, 0]","[1, 1, 1, 0]","[1, 1, 1, 0]",곡선의활용 둥글리는표현,7.0,7,7.0,7,4.0,4,
7,고고,A6,dancing,,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",,,,,,,,
8,경,A6,dancing,8.0,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",빨간 치마가 살짝 들려있는 모습이 움직임을 잘 드러냄.,8.0,8 |  열정적인 움직임을 잘 드러냄.,6.0,"6 |  밝은 분위기, 가볍고 화려한 움직임을 잘 드러냄.",9.0,9 |  화려한 움직임을 잘 드러냄.,
9,yoni,A6,dancing,7.0,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]",치마와 발의 움직임이 역동적으로 느껴짐,7.0,7,3.0,3,8.0,8,
